category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Chocolate confectionery,Cadbury,2021-08-01,44.0,44.0,0,1.0,
Chocolate confectionery,Cadbury,2021-09-01,31.75,31.75,0,1.0,
Chocolate confectionery,Cadbury,2021-10-01,22.8,22.8,0,1.0,
Chocolate confectionery,Cadbury,2021-11-01,29.0,29.0,0,1.0,
Chocolate confectionery,Cadbury,2021-12-01,32.0,32.0,0,1.0,
Chocolate confectionery,Cadbury,2022-01-01,24.6,24.6,0,1.0,
Chocolate confectionery,Cadbury,2022-02-01,33.25,33.25,0,1.0,
Chocolate confectionery,Cadbury,2022-03-01,46.75,46.75,0,1.0,
Chocolate confectionery,Cadbury,2022-04-01,65.5,65.5,0,1.0,
Chocolate confectionery,Cadbury,2022-05-01,30.6,30.6,0,1.0,
Chocolate confectionery,Cadbury,2022-06-01,42.0,42.0,0,1.0,
Chocolate confectionery,Cadbury,2022-07-01,39.4,39.4,0,1.0,
Chocolate confectionery,Cadbury,2022-08-01,36.0,36.0,0,1.0,
Chocolate confectionery,Cadbury,2022-09-01,32.0,32.0,0,1.0,
Chocolate confectionery,Cadbury,2022-10-01,32.8,32.8,0,1.0,
Chocolate confectionery,Cadbury,2022-11-01,34.0,34.0,0,1.0,
Chocolate confectionery,Cadbury,2022-12-01,33.5,33.5,0,1.0,
Chocolate confectionery,Cadbury,2023-01-01,27.4,27.4,0,1.0,
Chocolate confectionery,Cadbury,2023-02-01,28.75,28.75,0,1.0,
Chocolate confectionery,Cadbury,2023-03-01,40.5,40.5,0,1.0,
Chocolate confectionery,Cadbury,2023-04-01,43.6,43.6,0,1.0,
Chocolate confectionery,Cadbury,2023-05-01,27.25,27.25,0,1.0,
Chocolate confectionery,Cadbury,2023-06-01,24.75,24.75,0,1.0,
Chocolate confectionery,Cadbury,2023-07-01,27.6,27.6,0,1.0,
Chocolate confectionery,Cadbury,2023-08-01,28.0,28.0,0,1.0,
Chocolate confectionery,Cadbury,2023-09-01,25.0,25.0,0,1.0,
Chocolate confectionery,Cadbury,2023-10-01,27.8,27.8,0,1.0,
Chocolate confectionery,Cadbury,2023-11-01,31.25,31.25,0,1.0,
Chocolate confectionery,Cadbury,2023-12-01,33.4,33.4,0,1.0,
Chocolate confectionery,Cadbury,2024-01-01,24.75,24.75,0,1.0,
Chocolate confectionery,Cadbury,2024-02-01,29.75,29.75,0,1.0,
Chocolate confectionery,Cadbury,2024-03-01,61.8,61.8,0,1.0,
Chocolate confectionery,Cadbury,2024-04-01,30.25,30.25,0,1.0,
Chocolate confectionery,Cadbury,2024-05-01,28.5,28.5,0,1.0,
Chocolate confectionery,Cadbury,2024-06-01,27.2,27.2,0,1.0,
Chocolate confectionery,Cadbury,2024-07-01,31.25,31.25,0,1.0,
Chocolate confectionery,Cadbury,2024-08-01,26.25,26.25,0,1.0,
Chocolate confectionery,Cadbury,2024-09-01,21.8,21.8,0,1.0,
Chocolate confectionery,Cadbury,2024-10-01,27.0,27.0,0,1.0,
Chocolate confectionery,Cadbury,2024-11-01,29.25,29.25,0,1.0,
Chocolate confectionery,Cadbury,2024-12-01,41.8,41.8,0,1.0,
Chocolate confectionery,Cadbury,2025-01-01,35.75,35.75,0,1.0,
Chocolate confectionery,Cadbury,2025-02-01,33.0,33.0,0,1.0,
Chocolate confectionery,Cadbury,2025-03-01,44.6,44.6,0,1.0,
Chocolate confectionery,Allens,2021-08-01,6.0,6.0,0,1.0,
Chocolate confectionery,Allens,2021-09-01,5.25,5.25,0,1.0,
Chocolate confectionery,Allens,2021-10-01,5.6,5.6,0,1.0,
Chocolate confectionery,Allens,2021-11-01,6.5,6.5,0,1.0,
Chocolate confectionery,Allens,2021-12-01,5.25,5.25,0,1.0,
Chocolate confectionery,Allens,2022-01-01,5.2,5.2,0,1.0,
Chocolate confectionery,Allens,2022-02-01,8.75,8.75,0,1.0,
Chocolate confectionery,Allens,2022-03-01,9.0,9.0,0,1.0,
Chocolate confectionery,Allens,2022-04-01,7.5,7.5,0,1.0,
Chocolate confectionery,Allens,2022-05-01,7.8,7.8,0,1.0,
Chocolate confectionery,Allens,2022-06-01,10.75,10.75,0,1.0,
Chocolate confectionery,Allens,2022-07-01,8.4,8.4,0,1.0,
Chocolate confectionery,Allens,2022-08-01,5.25,5.25,0,1.0,
Chocolate confectionery,Allens,2022-09-01,5.0,5.0,0,1.0,
Chocolate confectionery,Allens,2022-10-01,4.6,4.6,0,1.0,
Chocolate confectionery,Allens,2022-11-01,4.0,4.0,0,1.0,
Chocolate confectionery,Allens,2022-12-01,2.75,2.75,0,1.0,
Chocolate confectionery,Allens,2023-01-01,3.6,3.6,0,1.0,
Chocolate confectionery,Allens,2023-02-01,5.0,5.0,0,1.0,
Chocolate confectionery,Allens,2023-03-01,5.5,5.5,0,1.0,
Chocolate confectionery,Allens,2023-04-01,3.8,3.8,0,1.0,
Chocolate confectionery,Allens,2023-05-01,4.75,4.75,0,1.0,
Chocolate confectionery,Allens,2023-06-01,5.5,5.5,0,1.0,
Chocolate confectionery,Allens,2023-07-01,5.0,5.0,0,1.0,
Chocolate confectionery,Allens,2023-08-01,5.75,5.75,0,1.0,
Chocolate confectionery,Allens,2023-09-01,5.25,5.25,0,1.0,
Chocolate confectionery,Allens,2023-10-01,4.0,4.0,0,1.0,
Chocolate confectionery,Allens,2023-11-01,4.25,4.25,0,1.0,
Chocolate confectionery,Allens,2023-12-01,4.2,4.2,0,1.0,
Chocolate confectionery,Allens,2024-01-01,4.75,4.75,0,1.0,
Chocolate confectionery,Allens,2024-02-01,8.5,8.5,0,1.0,
Chocolate confectionery,Allens,2024-03-01,5.6,5.6,0,1.0,
Chocolate confectionery,Allens,2024-04-01,8.0,8.0,0,1.0,
Chocolate confectionery,Allens,2024-05-01,9.0,9.0,0,1.0,
