category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
News or Media Sources,Nine,2021-08-01,96.0,96.0,0,1.0,
News or Media Sources,Nine,2021-09-01,94.5,94.5,0,1.0,
News or Media Sources,Nine,2021-10-01,80.0,80.0,0,1.0,
News or Media Sources,Nine,2021-11-01,73.0,73.0,0,1.0,
News or Media Sources,Nine,2021-12-01,77.5,77.5,0,1.0,
News or Media Sources,Nine,2022-01-01,74.0,74.0,0,1.0,
News or Media Sources,Nine,2022-02-01,66.0,66.0,0,1.0,
News or Media Sources,Nine,2022-03-01,61.25,61.25,0,1.0,
News or Media Sources,Nine,2022-04-01,57.0,57.0,0,1.0,
News or Media Sources,Nine,2022-05-01,56.2,56.2,0,1.0,
News or Media Sources,Nine,2022-06-01,55.0,55.0,0,1.0,
News or Media Sources,Nine,2022-07-01,54.2,54.2,0,1.0,
News or Media Sources,Nine,2022-08-01,53.5,53.5,0,1.0,
News or Media Sources,Nine,2022-09-01,56.75,56.75,0,1.0,
News or Media Sources,Nine,2022-10-01,53.2,53.2,0,1.0,
News or Media Sources,Nine,2022-11-01,52.0,52.0,0,1.0,
News or Media Sources,Nine,2022-12-01,52.0,52.0,0,1.0,
News or Media Sources,Nine,2023-01-01,52.0,52.0,0,1.0,
News or Media Sources,Nine,2023-02-01,52.5,52.5,0,1.0,
News or Media Sources,Nine,2023-03-01,50.5,50.5,0,1.0,
News or Media Sources,Nine,2023-04-01,48.8,48.8,0,1.0,
News or Media Sources,Nine,2023-05-01,48.0,48.0,0,1.0,
News or Media Sources,Nine,2023-06-01,53.5,53.5,0,1.0,
News or Media Sources,Nine,2023-07-01,51.2,51.2,0,1.0,
News or Media Sources,Nine,2023-08-01,46.5,46.5,0,1.0,
News or Media Sources,Nine,2023-09-01,46.75,46.75,0,1.0,
News or Media Sources,Nine,2023-10-01,49.6,49.6,0,1.0,
News or Media Sources,Nine,2023-11-01,47.0,47.0,0,1.0,
News or Media Sources,Nine,2023-12-01,46.2,46.2,0,1.0,
News or Media Sources,Nine,2024-01-01,46.25,46.25,0,1.0,
News or Media Sources,Nine,2024-02-01,44.25,44.25,0,1.0,
News or Media Sources,Nine,2024-03-01,41.8,41.8,0,1.0,
News or Media Sources,Nine,2024-04-01,40.75,40.75,0,1.0,
News or Media Sources,Nine,2024-05-01,39.0,39.0,0,1.0,
News or Media Sources,Nine,2024-06-01,39.6,39.6,0,1.0,
News or Media Sources,Nine,2024-07-01,53.0,53.0,0,1.0,
News or Media Sources,Nine,2024-08-01,45.0,45.0,0,1.0,
News or Media Sources,Nine,2024-09-01,39.0,39.0,0,1.0,
News or Media Sources,Nine,2024-10-01,39.0,39.0,0,1.0,
News or Media Sources,Nine,2024-11-01,42.25,42.25,0,1.0,
News or Media Sources,Nine,2024-12-01,38.6,38.6,0,1.0,
News or Media Sources,Nine,2025-01-01,42.75,42.75,0,1.0,
News or Media Sources,Nine,2025-02-01,41.5,41.5,0,1.0,
News or Media Sources,Nine,2025-03-01,40.4,40.4,0,1.0,
News or Media Sources,Cheek Media Co.,2021-08-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2021-09-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2021-10-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2021-11-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2021-12-01,0.0,0.0,0,1.0,
News or Media Sources,Cheek Media Co.,2022-01-01,0.0,0.0,0,1.0,
