time [UTC],Nine,The Daily Aus,The Guardian
2021-08-01,3.0,0.0,81.0
2021-09-01,4.25,0.0,82.0
2021-10-01,5.0,0.0,57.4
2021-11-01,6.75,0.0,57.5
2021-12-01,5.5,0.0,64.25
2022-01-01,4.8,0.0,67.4
2022-02-01,5.0,0.0,87.5
2022-03-01,6.0,0.0,49.25
2022-04-01,5.75,0.0,48.25
2022-05-01,6.0,0.0,59.6
2022-06-01,5.75,0.0,43.5
2022-07-01,5.0,0.0,45.6
2022-08-01,5.25,0.0,43.0
2022-09-01,5.75,0.0,44.5
2022-10-01,5.6,0.0,46.6
2022-11-01,6.5,0.0,43.75
2022-12-01,5.75,0.0,43.0
2023-01-01,5.0,0.0,44.6
2023-02-01,4.75,0.0,41.25
2023-03-01,4.5,0.0,47.75
2023-04-01,5.4,0.0,48.4
2023-05-01,5.75,0.0,53.0
2023-06-01,5.0,0.0,54.5
2023-07-01,4.6,0.0,55.6
2023-08-01,5.0,0.0,54.0
2023-09-01,5.0,0.0,53.5
2023-10-01,5.2,0.0,63.4
2023-11-01,5.25,0.0,53.75
2023-12-01,4.6,0.0,48.4
2024-01-01,4.0,0.0,44.25
2024-02-01,3.75,0.0,42.5
2024-03-01,4.0,0.2,40.6
2024-04-01,4.75,0.0,42.0
2024-05-01,4.0,0.0,40.0
2024-06-01,4.2,0.0,38.6
2024-07-01,3.25,0.0,42.75
2024-08-01,3.75,0.0,41.0
2024-09-01,4.2,0.0,39.8
2024-10-01,4.25,0.25,42.5
2024-11-01,4.5,0.0,47.25
2024-12-01,3.8,0.0,39.6
2025-01-01,3.5,0.0,43.0
2025-02-01,3.25,0.25,48.5
2025-03-01,3.2,0.2,46.0
