category_name,brand_name,month,trends_index,raw_index,batch,scale_factor,stitch_flag
Outdoor Apparel,R.M.Williams,2021-08-01,1.0,1.0,0,1.0,
Outdoor Apparel,R.M.Williams,2021-09-01,4.0,4.0,0,1.0,
Outdoor Apparel,R.M.Williams,2021-10-01,1.4,1.4,0,1.0,
Outdoor Apparel,R.M.Williams,2021-11-01,1.25,1.25,0,1.0,
Outdoor Apparel,R.M.Williams,2021-12-01,0.75,0.75,0,1.0,
Outdoor Apparel,R.M.Williams,2022-01-01,1.0,1.0,0,1.0,
Outdoor Apparel,R.M.Williams,2022-02-01,6.0,6.0,0,1.0,
Outdoor Apparel,R.M.Williams,2022-03-01,15.25,15.25,0,1.0,
Outdoor Apparel,R.M.Williams,2022-04-01,18.5,18.5,0,1.0,
Outdoor Apparel,R.M.Williams,2022-05-01,24.0,24.0,0,1.0,
Outdoor Apparel,R.M.Williams,2022-06-01,22.75,22.75,0,1.0,
Outdoor Apparel,R.M.Williams,2022-07-01,21.4,21.4,0,1.0,
Outdoor Apparel,R.M.Williams,2022-08-01,20.0,20.0,0,1.0,
Outdoor Apparel,R.M.Williams,2022-09-01,10.25,10.25,0,1.0,
Outdoor Apparel,R.M.Williams,2022-10-01,17.8,17.8,0,1.0,
Outdoor Apparel,R.M.Williams,2022-11-01,19.5,19.5,0,1.0,
Outdoor Apparel,R.M.Williams,2022-12-01,12.5,12.5,0,1.0,
Outdoor Apparel,R.M.Williams,2023-01-01,6.6,6.6,0,1.0,
Outdoor Apparel,R.M.Williams,2023-02-01,6.75,6.75,0,1.0,
Outdoor Apparel,R.M.Williams,2023-03-01,4.25,4.25,0,1.0,
Outdoor Apparel,R.M.Williams,2023-04-01,5.2,5.2,0,1.0,
Outdoor Apparel,R.M.Williams,2023-05-01,9.0,9.0,0,1.0,
Outdoor Apparel,R.M.Williams,2023-06-01,8.25,8.25,0,1.0,
Outdoor Apparel,R.M.Williams,2023-07-01,11.2,11.2,0,1.0,
Outdoor Apparel,R.M.Williams,2023-08-01,19.0,19.0,0,1.0,
Outdoor Apparel,R.M.Williams,2023-09-01,13.75,13.75,0,1.0,
Outdoor Apparel,R.M.Williams,2023-10-01,6.8,6.8,0,1.0,
Outdoor Apparel,R.M.Williams,2023-11-01,10.25,10.25,0,1.0,
Outdoor Apparel,R.M.Williams,2023-12-01,11.6,11.6,0,1.0,
Outdoor Apparel,R.M.Williams,2024-01-01,5.5,5.5,0,1.0,
Outdoor Apparel,R.M.Williams,2024-02-01,5.75,5.75,0,1.0,
Outdoor Apparel,R.M.Williams,2024-03-01,7.4,7.4,0,1.0,
Outdoor Apparel,R.M.Williams,2024-04-01,9.5,9.5,0,1.0,
Outdoor Apparel,R.M.Williams,2024-05-01,9.0,9.0,0,1.0,
Outdoor Apparel,R.M.Williams,2024-06-01,9.2,9.2,0,1.0,
Outdoor Apparel,R.M.Williams,2024-07-01,9.0,9.0,0,1.0,
Outdoor Apparel,R.M.Williams,2024-08-01,10.0,10.0,0,1.0,
Outdoor Apparel,R.M.Williams,2024-09-01,8.0,8.0,0,1.0,
Outdoor Apparel,R.M.Williams,2024-10-01,7.0,7.0,0,1.0,
Outdoor Apparel,R.M.Williams,2024-11-01,11.75,11.75,0,1.0,
Outdoor Apparel,R.M.Williams,2024-12-01,13.2,13.2,0,1.0,
Outdoor Apparel,R.M.Williams,2025-01-01,7.0,7.0,0,1.0,
Outdoor Apparel,R.M.Williams,2025-02-01,7.0,7.0,0,1.0,
Outdoor Apparel,R.M.Williams,2025-03-01,7.4,7.4,0,1.0,
Outdoor Apparel,Country Road,2021-08-01,1.0,1.0,0,1.0,
Outdoor Apparel,Country Road,2021-09-01,3.25,3.25,0,1.0,
Outdoor Apparel,Country Road,2021-10-01,6.6,6.6,0,1.0,
Outdoor Apparel,Country Road,2021-11-01,13.75,13.75,0,1.0,
Outdoor Apparel,Country Road,2021-12-01,8.75,8.75,0,1.0,
Outdoor Apparel,Country Road,2022-01-01,12.4,12.4,0,1.0,
Outdoor Apparel,Country Road,2022-02-01,45.25,45.25,0,1.0,
Outdoor Apparel,Country Road,2022-03-01,45.75,45.75,0,1.0,
Outdoor Apparel,Country Road,2022-04-01,52.75,52.75,0,1.0,
Outdoor Apparel,Country Road,2022-05-01,55.0,55.0,0,1.0,
Outdoor Apparel,Country Road,2022-06-01,46.75,46.75,0,1.0,
Outdoor Apparel,Country Road,2022-07-01,43.2,43.2,0,1.0,
Outdoor Apparel,Country Road,2022-08-01,38.0,38.0,0,1.0,
Outdoor Apparel,Country Road,2022-09-01,27.5,27.5,0,1.0,
Outdoor Apparel,Country Road,2022-10-01,43.2,43.2,0,1.0,
Outdoor Apparel,Country Road,2022-11-01,74.25,74.25,0,1.0,
Outdoor Apparel,Country Road,2022-12-01,77.0,77.0,0,1.0,
Outdoor Apparel,Country Road,2023-01-01,46.6,46.6,0,1.0,
Outdoor Apparel,Country Road,2023-02-01,43.5,43.5,0,1.0,
Outdoor Apparel,Country Road,2023-03-01,44.25,44.25,0,1.0,
Outdoor Apparel,Country Road,2023-04-01,56.2,56.2,0,1.0,
Outdoor Apparel,Country Road,2023-05-01,62.25,62.25,0,1.0,
Outdoor Apparel,Country Road,2023-06-01,47.75,47.75,0,1.0,
Outdoor Apparel,Country Road,2023-07-01,43.6,43.6,0,1.0,
Outdoor Apparel,Country Road,2023-08-01,43.0,43.0,0,1.0,
Outdoor Apparel,Country Road,2023-09-01,45.5,45.5,0,1.0,
Outdoor Apparel,Country Road,2023-10-01,43.8,43.8,0,1.0,
Outdoor Apparel,Country Road,2023-11-01,69.0,69.0,0,1.0,
Outdoor Apparel,Country Road,2023-12-01,72.4,72.4,0,1.0,
Outdoor Apparel,Country Road,2024-01-01,42.5,42.5,0,1.0,
Outdoor Apparel,Country Road,2024-02-01,42.5,42.5,0,1.0,
Outdoor Apparel,Country Road,2024-03-01,46.2,46.2,0,1.0,
Outdoor Apparel,Country Road,2024-04-01,57.5,57.5,0,1.0,
Outdoor Apparel,Country Road,2024-05-01,53.25,53.25,0,1.0,
Outdoor Apparel,Country Road,2024-06-01,43.8,43.8,0,1.0,
Outdoor Apparel,Country Road,2024-07-01,37.25,37.25,0,1.0,
Outdoor Apparel,Country Road,2024-08-01,43.25,43.25,0,1.0,
Outdoor Apparel,Country Road,2024-09-01,41.6,41.6,0,1.0,
Outdoor Apparel,Country Road,2024-10-01,42.25,42.25,0,1.0,
Outdoor Apparel,Country Road,2024-11-01,60.0,60.0,0,1.0,
Outdoor Apparel,Country Road,2024-12-01,61.0,61.0,0,1.0,
Outdoor Apparel,Country Road,2025-01-01,39.0,39.0,0,1.0,
Outdoor Apparel,Country Road,2025-02-01,38.25,38.25,0,1.0,
Outdoor Apparel,Country Road,2025-03-01,39.8,39.8,0,1.0,
Outdoor Apparel,Deus Ex Machina,2021-08-01,1.0,1.0,0,1.0,
Outdoor Apparel,Deus Ex Machina,2021-09-01,0.75,0.75,0,1.0,
Outdoor Apparel,Deus Ex Machina,2021-10-01,1.0,1.0,0,1.0,
Outdoor Apparel,Deus Ex Machina,2021-11-01,1.0,1.0,0,1.0,
Outdoor Apparel,Deus Ex Machina,2021-12-01,1.0,1.0,0,1.0,
Outdoor Apparel,Deus Ex Machina,2022-01-01,1.0,1.0,0,1.0,
