time [UTC],Pine O Cleen,Thankyou,Undo This Mess,White King,Zero Co
2021-08-01,0.0,0.0,0.0,59.0,49.0
2021-09-01,3.25,4.25,0.0,65.5,18.5
2021-10-01,2.0,7.0,0.0,58.8,24.0
2021-11-01,0.0,11.5,0.0,62.5,16.0
2021-12-01,0.0,6.75,0.0,64.0,13.0
2022-01-01,0.0,11.6,0.0,75.4,16.8
2022-02-01,0.0,10.75,0.0,68.25,16.75
2022-03-01,4.5,13.0,0.0,65.75,16.75
2022-04-01,4.0,11.5,0.0,87.0,19.0
2022-05-01,3.6,11.8,0.0,66.8,14.4
2022-06-01,3.25,16.5,0.0,68.0,15.25
2022-07-01,3.4,10.4,0.0,65.2,21.4
2022-08-01,0.0,11.25,1.25,72.5,17.75
2022-09-01,1.5,10.0,0.0,85.0,18.5
2022-10-01,1.0,10.6,0.0,70.6,16.0
2022-11-01,0.0,16.75,0.0,70.0,17.75
2022-12-01,1.25,17.5,0.0,71.0,16.25
2023-01-01,1.2,23.8,0.0,72.2,21.2
2023-02-01,0.0,14.75,0.0,64.0,17.25
2023-03-01,1.75,9.5,0.0,63.0,15.0
2023-04-01,1.6,7.4,0.0,70.0,16.8
2023-05-01,0.0,13.25,0.0,68.75,16.0
2023-06-01,6.75,18.75,0.0,68.0,14.5
2023-07-01,1.4,17.0,0.0,62.0,14.4
2023-08-01,3.25,14.0,0.0,70.25,18.25
2023-09-01,0.0,14.75,0.0,65.25,16.75
2023-10-01,2.4,13.6,0.0,71.0,17.2
2023-11-01,0.0,18.75,0.0,67.0,13.25
2023-12-01,2.8,13.6,0.0,66.2,17.0
2024-01-01,2.0,10.75,0.0,73.25,15.75
2024-02-01,3.25,15.0,0.0,66.75,12.0
2024-03-01,1.2,11.6,0.0,74.4,13.6
2024-04-01,0.0,11.5,0.0,66.0,18.25
2024-05-01,1.5,13.75,0.0,74.25,22.5
2024-06-01,1.2,12.2,0.0,77.0,13.4
2024-07-01,0.0,12.75,0.0,72.5,11.5
2024-08-01,1.5,14.5,0.0,72.25,15.75
2024-09-01,2.6,15.6,0.0,72.4,15.4
2024-10-01,0.0,15.25,0.0,75.0,21.75
2024-11-01,0.0,15.75,0.0,80.5,13.75
2024-12-01,1.4,11.2,0.0,76.6,14.8
2025-01-01,3.5,7.0,2.0,83.25,19.25
2025-02-01,3.0,12.75,0.0,76.75,14.0
2025-03-01,3.0,11.4,0.0,75.4,13.4
