time [UTC],Red Rock Deli,Snacka Changi,Tyrells
2021-08-01,0.0,0.0,0.0
2021-09-01,0.0,0.0,5.75
2021-10-01,0.0,0.0,0.8
2021-11-01,0.0,0.0,29.5
2021-12-01,0.0,0.0,2.75
2022-01-01,0.0,0.0,1.0
2022-02-01,0.0,0.0,3.0
2022-03-01,0.0,0.0,3.0
2022-04-01,0.0,0.0,4.0
2022-05-01,0.0,0.0,3.8
2022-06-01,0.0,0.0,1.0
2022-07-01,0.0,0.0,3.2
2022-08-01,0.0,0.0,4.5
2022-09-01,0.0,0.0,4.0
2022-10-01,0.0,0.0,4.2
2022-11-01,0.0,0.0,2.5
2022-12-01,0.0,0.0,3.25
2023-01-01,0.0,0.0,2.6
2023-02-01,0.0,0.0,2.25
2023-03-01,0.0,0.0,0.0
2023-04-01,0.0,0.0,2.2
2023-05-01,0.0,0.0,1.0
2023-06-01,0.0,0.0,5.25
2023-07-01,0.0,0.0,4.2
2023-08-01,0.0,0.0,4.25
2023-09-01,0.0,0.0,4.5
2023-10-01,0.0,0.0,3.4
2023-11-01,0.0,0.0,1.25
2023-12-01,0.0,0.0,4.6
2024-01-01,0.0,0.0,3.5
2024-02-01,0.0,0.0,3.25
2024-03-01,0.0,0.0,2.6
2024-04-01,0.0,0.0,3.25
2024-05-01,0.0,0.0,2.5
2024-06-01,0.0,0.0,2.4
2024-07-01,0.0,0.0,4.75
2024-08-01,0.0,0.0,4.25
2024-09-01,0.0,0.0,4.2
2024-10-01,0.0,0.0,3.75
2024-11-01,0.0,0.0,4.25
2024-12-01,0.0,0.0,5.0
2025-01-01,0.0,0.0,3.0
2025-02-01,0.0,0.0,4.75
2025-03-01,0.0,0.0,1.2
