time [UTC],Cadbury,Darrell Lea,KitKat,Life Savers,Lindt
2021-08-01,44.0,0.0,20.0,4.0,24.0
2021-09-01,31.75,0.0,18.25,4.25,13.5
2021-10-01,22.8,0.0,13.0,4.4,9.4
2021-11-01,29.0,0.0,15.25,3.75,16.5
2021-12-01,32.0,0.75,13.5,4.5,19.75
2022-01-01,24.6,0.0,8.6,5.8,12.2
2022-02-01,33.25,0.0,10.25,8.25,9.5
2022-03-01,46.75,0.0,10.25,14.75,12.5
2022-04-01,65.5,0.0,12.25,10.0,29.75
2022-05-01,30.6,0.0,10.4,10.2,12.8
2022-06-01,42.0,0.0,12.75,10.75,13.75
2022-07-01,39.4,0.0,20.4,7.4,14.6
2022-08-01,36.0,0.0,22.0,7.25,14.5
2022-09-01,32.0,4.0,21.75,9.0,16.5
2022-10-01,32.8,3.4,15.8,9.8,18.0
2022-11-01,34.0,5.5,18.25,9.0,18.75
2022-12-01,33.5,7.25,16.5,8.5,29.5
2023-01-01,27.4,3.0,11.4,8.4,17.8
2023-02-01,28.75,3.5,13.75,9.0,16.0
2023-03-01,40.5,4.75,17.25,9.5,24.25
2023-04-01,43.6,5.4,16.6,7.6,23.0
2023-05-01,27.25,3.75,17.25,8.25,19.0
2023-06-01,24.75,3.25,21.75,9.5,17.25
2023-07-01,27.6,2.4,17.8,8.6,16.6
2023-08-01,28.0,4.25,20.25,9.0,16.25
2023-09-01,25.0,4.0,19.5,10.0,16.0
2023-10-01,27.8,1.2,27.8,10.4,17.4
2023-11-01,31.25,1.5,40.25,9.75,23.25
2023-12-01,33.4,6.2,33.4,8.4,36.2
2024-01-01,24.75,3.25,15.75,9.0,15.5
2024-02-01,29.75,6.0,20.0,9.25,17.0
2024-03-01,61.8,16.6,24.6,8.6,20.6
2024-04-01,30.25,8.5,19.25,8.75,18.25
2024-05-01,28.5,9.75,19.0,9.25,14.5
2024-06-01,27.2,6.6,19.6,9.6,21.2
2024-07-01,31.25,8.25,20.25,9.25,19.0
2024-08-01,26.25,12.25,22.25,9.75,19.0
2024-09-01,21.8,9.8,23.8,9.2,18.6
2024-10-01,27.0,7.5,26.0,8.5,14.75
2024-11-01,29.25,10.0,35.5,10.0,26.0
2024-12-01,41.8,13.6,41.2,10.0,48.0
2025-01-01,35.75,6.5,20.75,8.5,12.75
2025-02-01,33.0,7.25,26.75,9.0,13.25
2025-03-01,44.6,10.4,22.4,7.0,19.4
